METIER_IEO;ESP_OBJ;COD_ESP_OBJ
GNS11;MERLUZA;MER
GNS12;RAPE;RAP
OTB11;VARIADO BLANCO;VBL
OTB11;POTA;POT
OTB12;JUREL;JUR
OTB13;CABALLA;CAB
OTB20;CIGALA;CIG
OTB20;GALERA;GLE
OTB20;GAMBA;GAM
OTB20;JUREL;JUR
OTB20;LANGOSTINO;LAN
OTB20;VARIADO BLANCO;VBL
OTB20;PULPO, ESPARIDOS, SALMONETES,SEPIA Y CALAMAR;COS
OTB20;PULPO-CHOCO;OSE
OTB51;GALLO Y RAPE;GAR
OTB51;POTA;POT
PSX21;SARDINA;SAR
PSX21;BOQUERON-SARDINA;BYS
PSX22;BOQUERON;BOQ
PSX22;BOQUERON-SARDINA;BYS
PSX23;CABALLA;CAB
PSX23;BOQUERON-SARDINA;BYS
PSX24;ESTORNINO;VMA
PSX2X;BOQUERON-SARDINA;BYS
PSX2X;ESTORNINO;VMA
PSX2X;JUREL;JUR
PTB11;LIRIO;LIR
PTB12;MERLUZA;MER
PTB13;CABALLA;CAB
