COD_ORIGEN;CUADRICULA_ICES
030;34D8
030;34D9
030;34E0
030;35D8
030;35D9
030;35E0
030;36D8
030;36D9
030;36E0
030;37D8
030;37D9
030;37E0
031;34D2
031;34D3
031;34D4
031;34D5
031;34D6
031;34D7
031;35D2
031;35D3
031;35D4
031;35D5
031;35D6
031;35D7
031;36D2
031;36D3
031;36D4
031;36D5
031;36D6
031;36D7
031;37D2
031;37D3
031;37D4
031;37D5
031;37D6
031;37D7
033;29E1
033;29E2
033;30E1
033;30E2
033;30E3
033;31E1
033;31E2
033;31E3
033;31E4
033;32E1
033;32E2
033;32E3
033;32E4
034;25E1
034;25E2
034;25E3
034;25E4
034;26E1
034;26E2
034;26E3
034;26E4
034;27E1
034;27E2
034;27E3
034;27E4
034;28E1
034;28E2
035;25D2
035;25D3
035;25D4
035;25D5
035;25D6
035;25D7
035;26D2
035;26D3
035;26D4
035;26D5
035;26D6
035;26D7
035;27D2
035;27D3
035;27D4
035;27D5
035;27D6
035;27D7
035;28D2
035;28D3
035;28D4
035;28D5
035;28D6
035;28D7
035;29D2
035;29D3
035;29D4
035;29D5
035;29D6
035;29D7
035;30D2
035;30D3
035;30D4
035;30D5
035;30D6
035;30D7
035;31D2
035;31D3
035;31D4
035;31D5
035;31D6
035;31D7
035;32D2
035;32D3
035;32D4
035;32D5
035;32D6
035;32D7
035;33D2
035;33D3
035;33D4
035;33D5
035;33D6
035;33D7
036;25D8
036;25D9
036;25E0
036;26D8
036;26D9
036;26E0
036;27D8
036;27D9
036;27E0
036;28D8
036;28D9
036;28E0
036;29D8
036;29D9
036;29E0
036;30D8
036;30D9
036;30E0
036;31D8
036;31D9
036;31E0
036;32D8
036;32D9
036;33D8
036;33D9
010;13E0
010;13E1
010;14E0
009;15E0
009;15E1
008;15E5
008;15E6
009;16E1
009;16E2
008;16E3
008;16E4
008;16E5
008;16E6
009;17E1
009;17E2
008;17E3
010;12E0
011;03E2
011;02E2
011;01E2
011;03E3
011;02E3
011;01E3
