PUERTO;COD_PUERTO;LOCODE
Cádiz;0101;
Barbate;0103;
Ayamonte;0109;
Isla Cristina;0110;
Lepe;0111;
Punta Umbría;0114;
Sanlúcar de Barrameda;0116;
Puerto de Santa María;0118;
Punta del Moral;0142;
Santander;0402;
Suances;0403;
San Vicente de la Barquera;0405;
Colindres;0408;
Santoña;0409;
Viveiro;0902;
Cedeira;0904;
A Coruña;0907;
Malpica de Bergantiños;0909;
Lage;0910;
Camariñas;0911;
Muxía;0912;
Muros;0914;
Santa Eugenia de Ribeira;0917;
Cambados;0919;
Marín;0921;
Vigo;0922;
Foz;0924;
Burela;0925;
Cillero;0926;
Bueu;0965;
Cangas;0966;
Gijón;1417;
Avilés;1418;
Bustio;1422;
Llanes;1423;
Castletown Bere;9998;
