Cod.Origen;C ICES
30;'34D8
30;'34D9
30;'34E0
30;'35D8
30;'35D9
30;'35E0
30;'36D8
30;'36D9
30;'36E0
30;'37D8
30;'37D9
30;'37E0
31;'34D2
31;'34D3
31;'34D4
31;'34D5
31;'34D6
31;'34D7
31;'35D2
31;'35D3
31;'35D4
31;'35D5
31;'35D6
31;'35D7
31;'36D2
31;'36D3
31;'36D4
31;'36D5
31;'36D6
31;'36D7
31;'37D2
31;'37D3
31;'37D4
31;'37D5
31;'37D6
31;'37D7
33;'29E1
33;'29E2
33;'30E1
33;'30E2
33;'30E3
33;'31E1
33;'31E2
33;'31E3
33;'31E4
33;'32E1
33;'32E2
33;'32E3
33;'32E4
34;'25E1
34;'25E2
34;'25E3
34;'25E4
34;'26E1
34;'26E2
34;'26E3
34;'26E4
34;'27E1
34;'27E2
34;'27E3
34;'27E4
34;'28E1
34;'28E2
35;'25D2
35;'25D3
35;'25D4
35;'25D5
35;'25D6
35;'25D7
35;'26D2
35;'26D3
35;'26D4
35;'26D5
35;'26D6
35;'26D7
35;'27D2
35;'27D3
35;'27D4
35;'27D5
35;'27D6
35;'27D7
35;'28D2
35;'28D3
35;'28D4
35;'28D5
35;'28D6
35;'28D7
35;'29D2
35;'29D3
35;'29D4
35;'29D5
35;'29D6
35;'29D7
35;'30D2
35;'30D3
35;'30D4
35;'30D5
35;'30D6
35;'30D7
35;'31D2
35;'31D3
35;'31D4
35;'31D5
35;'31D6
35;'31D7
35;'32D2
35;'32D3
35;'32D4
35;'32D5
35;'32D6
35;'32D7
35;'33D2
35;'33D3
35;'33D4
35;'33D5
35;'33D6
35;'33D7
36;'25D8
36;'25D9
36;'25E0
36;'26D8
36;'26D9
36;'26E0
36;'27D8
36;'27D9
36;'27E0
36;'28D8
36;'28D9
36;'28E0
36;'29D8
36;'29D9
36;'29E0
36;'30D8
36;'30D9
36;'30E0
36;'31D8
36;'31D9
36;'31E0
36;'32D8
36;'32D9
36;'33D8
36;'33D9
120;xx
